date,Artificial Intelligence,Machine Learning,Deep Learning,Data Science,Data Analytics
2024-02-04,73,98,29,79,42
2024-02-11,67,97,30,75,44
2024-02-18,79,98,33,79,45
2024-02-25,74,100,33,79,46
2024-03-03,72,95,32,77,42
2024-03-10,74,96,32,79,44
2024-03-17,72,98,33,80,44
2024-03-24,69,92,31,79,42
2024-03-31,69,95,30,74,43
2024-04-07,69,89,29,73,40
2024-04-14,72,91,31,75,42
2024-04-21,70,92,32,78,43
2024-04-28,72,96,30,76,40
2024-05-05,81,96,31,79,42
2024-05-12,81,94,30,81,42
2024-05-19,76,92,27,78,42
2024-05-26,77,90,28,78,40
2024-06-02,69,87,29,77,40
2024-06-09,79,93,29,80,42
2024-06-16,72,87,27,74,41
2024-06-23,69,88,28,78,41
2024-06-30,65,84,26,70,39
2024-07-07,66,81,26,76,40
2024-07-14,65,82,26,72,41
2024-07-21,68,87,28,75,41
2024-07-28,65,80,26,71,40
2024-08-04,66,82,26,70,39
2024-08-11,63,80,25,72,39
2024-08-18,73,82,26,78,43
2024-08-25,68,83,26,77,42
2024-09-01,69,83,27,82,41
2024-09-08,75,89,28,79,40
2024-09-15,73,86,28,73,39
2024-09-22,77,92,30,77,41
2024-09-29,70,87,27,73,38
2024-10-06,70,86,27,69,37
2024-10-13,73,94,30,72,39
2024-10-20,68,92,30,72,42
2024-10-27,63,83,28,67,36
2024-11-03,63,88,32,72,38
2024-11-10,68,96,37,74,40
2024-11-17,70,92,32,77,40
2024-11-24,75,88,32,64,36
2024-12-01,80,90,32,69,39
2024-12-08,75,93,32,69,36
2024-12-15,71,88,30,68,36
2024-12-22,65,71,23,57,29
2024-12-29,66,70,22,59,32
2025-01-05,76,93,32,76,39
2025-01-12,72,85,30,79,40
2025-01-19,76,92,32,82,46
2025-01-26,76,93,33,79,42
2025-02-02,76,97,34,79,44
